
********** Community [6] ************

Id: 2370, Community ID: 16, Is Centroid: False

Id: 2609, Community ID: 16, Is Centroid: False

Id: 2867, Community ID: 16, Is Centroid: False

Id: 2937, Community ID: 16, Is Centroid: False

Id: 3053, Community ID: 16, Is Centroid: False

Id: 3342, Community ID: 16, Is Centroid: False

Id: 3387, Community ID: 16, Is Centroid: False

Id: 3399, Community ID: 16, Is Centroid: False

Id: 3455, Community ID: 16, Is Centroid: False

Id: 3464, Community ID: 16, Is Centroid: False

Id: 3468, Community ID: 16, Is Centroid: False

Id: 3532, Community ID: 16, Is Centroid: False

Id: 3581, Community ID: 16, Is Centroid: False

Id: 3712, Community ID: 16, Is Centroid: False

Id: 3726, Community ID: 16, Is Centroid: False

Id: 4147, Community ID: 16, Is Centroid: False

Id: 4252, Community ID: 16, Is Centroid: False

Id: 4314, Community ID: 16, Is Centroid: True

Id: 4315, Community ID: 16, Is Centroid: False

Id: 4316, Community ID: 16, Is Centroid: False

Id: 4317, Community ID: 16, Is Centroid: False

Id: 4389, Community ID: 16, Is Centroid: False

Id: 4542, Community ID: 16, Is Centroid: False

Id: 4544, Community ID: 16, Is Centroid: False

Id: 4775, Community ID: 16, Is Centroid: False

Id: 4781, Community ID: 16, Is Centroid: False

Id: 4818, Community ID: 16, Is Centroid: False

Id: 4855, Community ID: 16, Is Centroid: False

Id: 4876, Community ID: 16, Is Centroid: False

Id: 4877, Community ID: 16, Is Centroid: False

Id: 4905, Community ID: 16, Is Centroid: False

Id: 4980, Community ID: 16, Is Centroid: False

Id: 5046, Community ID: 16, Is Centroid: False

Id: 5093, Community ID: 16, Is Centroid: False

Id: 5169, Community ID: 16, Is Centroid: False

Id: 5388, Community ID: 16, Is Centroid: False

Id: 5411, Community ID: 16, Is Centroid: False

Id: 5412, Community ID: 16, Is Centroid: False

Id: 5419, Community ID: 16, Is Centroid: False

Id: 5458, Community ID: 16, Is Centroid: False

Id: 5740, Community ID: 16, Is Centroid: False

Id: 5760, Community ID: 16, Is Centroid: False

Id: 5768, Community ID: 16, Is Centroid: False

Id: 5776, Community ID: 16, Is Centroid: False

Id: 5795, Community ID: 16, Is Centroid: False

Id: 5927, Community ID: 16, Is Centroid: False

Id: 5942, Community ID: 16, Is Centroid: False

Id: 5972, Community ID: 16, Is Centroid: False

Id: 6079, Community ID: 16, Is Centroid: False

Id: 6080, Community ID: 16, Is Centroid: False

Id: 6092, Community ID: 16, Is Centroid: False

Id: 6341, Community ID: 16, Is Centroid: False

Id: 6374, Community ID: 16, Is Centroid: False

Id: 6403, Community ID: 16, Is Centroid: False

********** Community [18] ************

Id: 18, Community ID: 18, Is Centroid: False

Id: 58, Community ID: 18, Is Centroid: False

Id: 198, Community ID: 18, Is Centroid: False

Id: 411, Community ID: 18, Is Centroid: False

Id: 474, Community ID: 18, Is Centroid: False

